Model,Target,MSE,RMSE,MAE,R2_Score,MAPE (%),Explained_Variance
XGBoost,E_field,0.013909743103831827,0.11793957395137489,0.0564002534960792,0.9904795881652912,29.88126469944053,0.9905207894816459
Random Forest,E_field,0.041114734963062664,0.20276768717688395,0.060005131982748545,0.9718593502121957,29.362659036093653,0.9719414336838725
LightGBM,E_field,0.06832558120263925,0.26139162420138723,0.07643153539308095,0.953235105275541,32.65220754540978,0.9533035543594476
SVR,E_field,0.2972116428428518,0.5451712050749303,0.12077496218194149,0.7965758806030827,45.189901905922824,0.7978811220849996
XGBoost,H_field,0.0070059608876398265,0.08370161819009132,0.054115829896048975,0.9936670493330824,34.34167159690262,0.9936730213817555
Random Forest,H_field,0.015102197788095576,0.12289099962200477,0.05979800260024728,0.9863485573088515,44.0514494819338,0.9863503768775297
LightGBM,H_field,0.023658613159466893,0.1538135662400001,0.06928241241971547,0.9786140927148299,69.49671560171421,0.9786205162788529
SVR,H_field,0.08080609887017728,0.2842641357438136,0.09835881796202321,0.9269563381899922,59.200457575627716,0.927222260931688
